Template_ID,N1,N2,Expression,H,A,Correct_Answer,Wrong1,Wrong2,Wrong3
MATH01,48,18,-,-,-,6,3,12,9
MATH01,100,75,-,-,-,25,5,10,50
MATH01,24,36,-,-,-,12,6,8,24
MATH02,13,17,-,-,-,نعم,لا,ليس دائماً,غير معروف
MATH02,15,21,-,-,-,لا,نعم,ربما,فقط في الجمع
MATH03,-,-,√32,-,-,4√2,2√4,16√2,8√2
MATH03,-,-,√75,-,-,5√3,3√5,25√3,15
MATH03,-,-,√50,-,-,5√2,2√5,10√2,25
MATH04,12,16,-,-,-,3/4,1/2,6/8,2/3
MATH04,20,30,-,-,-,2/3,1/3,4/6,10/15
MATH05,-,-,-,5,3,4,2,6,8
MATH05,-,-,-,13,12,5,7,10,1
MATH06,49,-,-,-,-,7 و 7-,7 فقط,49,لا يوجد حل
MATH06,25,-,-,-,-,5 و 5-,5 فقط,0,25
MATH07,-,-,(x+2)²,-,-,x²+4x+4,x²+4,x²+2x+4,x²+4x+2